2024-03-31 09:05:51 - INFO - /home1/yueming/Drug_Discovery/Baselines/GIGN-main/GIGN/train_PDBBind.py
2024-03-31 09:05:51 - INFO - fold: 1
2024-03-31 09:05:51 - INFO - train data: 5756
2024-03-31 09:05:51 - INFO - train data subsets: 1123, 1023, 1072, 1035, 1503
2024-03-31 09:05:51 - INFO - valid data: 50
2024-03-31 09:05:51 - INFO - test data: 1011
2024-03-31 09:05:51 - INFO - batch ligands: 10
2024-03-31 09:05:52 - INFO - train mean: 6.6141
2024-03-31 09:05:52 - INFO - train std: 1.6475
2024-03-31 09:05:52 - INFO - valid_metric: pr
2024-03-31 09:07:08 - INFO - epoch-0, train_loss-2.6337, train_rmse-1.6229, valid_rmse-1.6698, valid_pr-0.3053, valid_tau-0.1495, test_rmse-1.4844, test_pr-0.3846, test_tau-0.2752, lr-8.0000e-05
2024-03-31 09:08:24 - INFO - epoch-1, train_loss-2.1905, train_rmse-1.4800, valid_rmse-1.6752, valid_pr-0.4606, valid_tau-0.2837, test_rmse-1.4011, test_pr-0.4893, test_tau-0.3230, lr-8.0000e-05
2024-03-31 09:09:43 - INFO - epoch-2, train_loss-2.0577, train_rmse-1.4345, valid_rmse-1.6311, valid_pr-0.4738, valid_tau-0.2868, test_rmse-1.3678, test_pr-0.5269, test_tau-0.3530, lr-8.0000e-05
2024-03-31 09:11:03 - INFO - epoch-3, train_loss-1.9792, train_rmse-1.4069, valid_rmse-1.4705, valid_pr-0.6052, valid_tau-0.4188, test_rmse-1.3848, test_pr-0.5118, test_tau-0.3314, lr-8.0000e-05
2024-03-31 09:12:24 - INFO - epoch-4, train_loss-1.8915, train_rmse-1.3753, valid_rmse-1.4401, valid_pr-0.6629, valid_tau-0.4898, test_rmse-1.3817, test_pr-0.5184, test_tau-0.3336, lr-8.0000e-05
2024-03-31 09:13:46 - INFO - epoch-5, train_loss-1.8711, train_rmse-1.3679, valid_rmse-1.5354, valid_pr-0.4635, valid_tau-0.2659, test_rmse-1.3662, test_pr-0.5640, test_tau-0.3761, lr-8.0000e-05
2024-03-31 09:15:08 - INFO - epoch-6, train_loss-1.8219, train_rmse-1.3498, valid_rmse-1.6519, valid_pr-0.5337, valid_tau-0.3223, test_rmse-1.3215, test_pr-0.5757, test_tau-0.3829, lr-8.0000e-05
2024-03-31 09:16:30 - INFO - epoch-7, train_loss-1.8081, train_rmse-1.3447, valid_rmse-1.5266, valid_pr-0.6115, valid_tau-0.4321, test_rmse-1.3261, test_pr-0.5719, test_tau-0.3715, lr-8.0000e-05
2024-03-31 09:17:54 - INFO - epoch-8, train_loss-1.7833, train_rmse-1.3354, valid_rmse-1.4733, valid_pr-0.6316, valid_tau-0.4321, test_rmse-1.3037, test_pr-0.5849, test_tau-0.3689, lr-8.0000e-05
2024-03-31 09:19:18 - INFO - epoch-9, train_loss-1.8011, train_rmse-1.3421, valid_rmse-1.3972, valid_pr-0.6688, valid_tau-0.4330, test_rmse-1.3220, test_pr-0.5774, test_tau-0.3634, lr-7.8000e-05
2024-03-31 09:20:43 - INFO - epoch-10, train_loss-1.7612, train_rmse-1.3271, valid_rmse-1.4988, valid_pr-0.5101, valid_tau-0.2970, test_rmse-1.3096, test_pr-0.5971, test_tau-0.3872, lr-7.8000e-05
